designation,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,in_dr2,in_meingast,in_roser,mean_pmem,fit_group
Gaia DR2 38354680725946240,58.756584,12.485542,21.721823,131.227555,-10.229084,36.316,1.296,9.766,True,True,True,0.9994,cl
Gaia DR2 38329666836450304,59.560424,12.627971,21.946148,129.435447,-12.309865,,3.215,15.111,True,,True,0.9962,cl
Gaia DR2 40470720915966208,58.722353,16.315524,22.731167,134.275204,-22.675897,,2.851,12.957,True,,,0.9849,cl
Gaia DR2 3312025001943976064,65.802518,15.712787,21.580927,112.246334,-21.587035,,2.995,14.345,True,,True,0.9921,cl
Gaia DR2 3312052249216467328,64.948869,15.627541,22.623420,113.157971,-25.269867,,1.222,3.290,True,,True,0.9803,cl
Gaia DR2 3312281634829711488,64.554609,16.098027,20.734180,106.803856,-23.849648,,3.073,14.774,True,,True,0.9921,cl
Gaia DR2 3312281669189449472,64.580831,16.088231,22.135349,119.014263,-23.332981,38.638,1.154,9.287,True,True,True,0.9986,cl
Gaia DR2 3312197934506930944,63.890905,15.706167,21.941416,120.333918,-23.346712,38.491,1.575,10.432,True,True,True,0.9988,cl
Gaia DR2 3312025586058376704,65.855895,15.763009,24.086945,125.236052,-26.825382,38.423,1.495,10.019,True,True,True,0.9976,cl
Gaia DR2 3312136499294830848,63.943368,15.400603,21.315728,115.658895,-21.556805,41.050,0.537,6.203,True,,True,0.6418,cl
Gaia DR2 38670343642226816,58.444378,13.391927,24.153702,148.357283,-13.908053,,3.200,14.832,True,,True,0.9980,cl
Gaia DR2 38929141191925760,60.187865,13.906263,21.241981,128.295406,-16.179040,,2.987,13.330,True,,,0.9945,cl
Gaia DR2 51995909173956352,63.014649,20.831146,24.493158,136.326912,-40.915348,,3.169,14.963,True,,True,0.9954,cl
Gaia DR2 3314294771901304192,68.481582,18.380625,21.457987,103.529252,-32.417176,,3.059,14.998,True,,True,0.9949,cl
Gaia DR2 3314393590508675456,66.590890,18.000157,19.551517,98.236443,-29.888829,,3.120,14.328,True,,True,0.9970,cl
Gaia DR2 3393094021484216192,76.788669,15.613618,22.283116,78.351930,-30.462513,42.807,2.426,12.773,True,True,True,0.9989,cl
Gaia DR2 3308808002721345280,71.305168,14.723978,19.665794,82.144634,-22.296290,,3.758,18.641,True,,,0.9936,cl
Gaia DR2 3308851433430549632,71.035424,14.714795,21.830561,91.446569,-25.147918,,3.242,15.490,True,,True,0.9878,cl
Gaia DR2 3309006602007842048,71.626997,15.471935,20.357130,86.594066,-24.641352,42.042,0.831,8.126,True,True,True,0.9988,cl
Gaia DR2 3308957845537774976,71.388158,15.050626,20.769679,83.869467,-23.240592,,4.159,18.130,True,,,0.9542,cl
Gaia DR2 3308896238528440448,71.897620,14.888981,20.904930,87.240695,-24.278049,41.612,1.699,10.928,True,True,True,0.9991,cl
Gaia DR2 48026706557926528,67.154657,19.180278,20.312961,107.503038,-38.066076,,1.232,3.159,,,True,0.7722,cl
Gaia DR2 45159901786525568,61.755663,15.334944,22.179966,124.789296,-19.967408,38.121,1.421,10.040,,True,True,0.9984,cl
Gaia DR2 154257259425702144,71.924712,26.149867,21.003016,113.234496,-83.790244,39.410,1.432,10.152,,,,0.0000,cl
Gaia DR2 144130516816579200,67.575314,19.840418,19.537555,88.961165,-26.424681,39.752,0.650,6.965,,True,,0.0001,cl
Gaia DR2 3310500082395188224,63.716907,13.054858,22.447206,114.260254,-22.726626,38.957,1.506,10.223,,True,,0.0012,cl
Gaia DR2 3312899491645515776,67.379570,16.244695,21.699982,104.178713,-21.071571,39.411,1.384,9.927,,True,,0.8155,cl
Gaia DR2 3312837025641272320,67.695503,16.148537,22.117074,114.134179,-33.760352,41.399,0.589,6.386,,True,,0.0004,cl
Gaia DR2 3314063977537054208,66.372921,17.927773,22.194704,109.645180,-30.806135,,0.068,4.262,,,True,0.9957,cl
Gaia DR2 3310876802567157248,66.856041,14.260581,18.987733,104.361051,-20.093030,39.248,1.340,10.028,,,True,0.0029,cl
Gaia DR2 3312536927686011520,67.536312,15.637739,21.119841,108.919871,-22.136796,,0.412,5.591,,,True,0.5919,cl
Gaia DR2 145858674218113280,67.687923,22.629908,18.139218,80.199632,-34.078175,,2.711,13.567,,,True,0.0003,cl
Gaia DR2 3314248558053305216,68.121083,17.904557,17.757434,73.083822,-19.158856,,2.795,14.165,,,True,0.0000,cl
Gaia DR2 3309170875916905856,69.739245,14.105480,22.118307,85.238556,-18.597160,41.961,0.815,7.796,,,True,0.0000,cl
Gaia DR2 3309979154400870400,69.819126,15.917888,20.170778,79.342991,-19.533982,,0.230,4.574,,,True,0.8950,cl
Gaia DR2 3406352826045301632,71.613532,17.626476,20.405374,95.827505,-35.287058,,3.046,14.599,,,True,0.0016,cl
Gaia DR2 144338187075686016,68.122994,20.735377,17.305168,78.774404,-29.471307,,3.250,15.071,True,,True,0.9868,tails
Gaia DR2 3238530414929634304,75.829859,3.840381,21.618996,76.653456,13.508113,,3.281,15.589,True,,True,0.9997,tails
Gaia DR2 3411274308810562688,69.271922,20.718016,17.426782,79.407580,-31.536632,,2.715,14.024,True,,True,0.9993,tails
Gaia DR2 68001499939741440,53.209425,23.692017,23.770366,162.186643,-39.491038,31.690,1.020,8.635,True,True,True,1.0000,tails
Gaia DR2 67696694700442624,54.130978,22.782293,25.958905,169.125667,-44.570225,,2.758,12.979,True,,True,0.9992,tails
Gaia DR2 64552022725337856,53.544861,22.072399,28.166407,187.065993,-43.758676,,3.202,14.610,True,,True,0.9997,tails
Gaia DR2 3273807936268126464,59.812858,6.227916,18.383136,110.737629,8.298020,,2.850,14.549,True,,True,0.9996,tails
Gaia DR2 57083830512424448,55.229641,19.496352,24.528654,163.375849,-31.664535,,4.006,17.086,True,,True,0.9995,tails
Gaia DR2 3293856362569126400,70.717658,9.996390,16.958118,74.234883,-6.353223,,2.748,14.369,True,,True,0.9997,tails
Gaia DR2 3287587771900733440,67.274152,9.182463,17.030507,81.362202,-0.409506,,3.190,15.239,True,,,0.9986,tails
Gaia DR2 3283285795218796800,65.267733,3.268850,26.968191,138.421225,18.076627,38.664,1.243,9.148,True,True,True,1.0000,tails
Gaia DR2 3283238344419794304,64.681701,3.255040,28.109529,147.574935,19.992904,,3.521,15.666,True,,True,0.9998,tails
Gaia DR2 3283324415564687104,65.604947,3.619029,27.750480,142.631997,14.510379,,2.736,12.793,True,,True,0.9990,tails
Gaia DR2 65103668325506560,55.404505,23.343532,24.013274,156.444889,-41.150944,34.846,2.525,12.757,True,True,True,0.9999,tails
Gaia DR2 3413223227530503168,73.198522,22.647076,17.876837,70.525084,-44.467763,42.169,1.607,10.961,True,True,,0.9997,tails
Gaia DR2 3413146914550583680,71.859486,23.050745,18.153689,78.896606,-41.342997,40.614,1.344,10.303,True,True,True,0.9999,tails
Gaia DR2 47345490384536576,64.774524,17.573034,17.632564,97.340269,-27.103254,,3.424,15.912,True,,,0.9941,tails
Gaia DR2 3391006113328069632,80.506664,15.581749,17.104210,48.736920,-22.947648,,3.497,16.632,True,,True,0.9997,tails
Gaia DR2 66482352830035840,57.763698,23.903444,24.464327,152.598852,-48.043361,34.157,1.404,9.788,True,True,True,1.0000,tails
Gaia DR2 3290872562889409024,77.332113,9.829552,18.797897,58.568645,-7.097628,,0.323,5.366,True,,True,0.9938,tails
Gaia DR2 3282171749421655168,69.493088,4.669808,20.694109,95.458833,9.033383,41.125,1.692,10.898,True,True,True,1.0000,tails
Gaia DR2 3406246551373367168,71.251269,17.271985,16.321356,70.439435,-22.193757,,3.396,16.207,True,,True,0.9995,tails
Gaia DR2 3406246551373367296,71.251466,17.272164,16.283975,66.315000,-22.448536,,3.349,16.171,True,,True,0.9943,tails
Gaia DR2 3404850790082434176,72.847023,15.433386,16.215621,65.838881,-18.291103,42.326,0.679,7.760,True,True,True,1.0000,tails
Gaia DR2 3406697179343851136,72.296510,17.715325,17.000099,70.283449,-25.141606,42.151,2.319,13.014,True,True,True,1.0000,tails
Gaia DR2 3289131211348832000,70.445653,7.275704,18.731963,84.257096,3.789666,,2.856,14.513,True,,True,0.9994,tails
Gaia DR2 3395542393360089728,78.100848,18.402215,18.681417,57.928129,-34.583480,43.718,,12.660,True,True,,0.9999,tails
Gaia DR2 3395542393361639424,78.100429,18.402283,18.834526,64.285623,-31.912487,42.312,2.315,12.578,True,True,True,0.9994,tails
Gaia DR2 144574788234755200,67.932189,21.154468,16.510599,80.788120,-31.184238,,3.147,15.879,True,,True,0.9995,tails
Gaia DR2 144574788234755584,67.930698,21.153086,16.433123,79.350269,-30.669094,,3.155,15.944,True,,True,0.9996,tails
Gaia DR2 3412163946860515712,74.327295,21.602214,16.290952,61.632709,-33.863318,,3.084,15.393,True,,True,0.9991,tails
Gaia DR2 44894472808190720,55.481917,18.759813,24.231451,155.923322,-28.480853,35.201,2.316,12.246,True,True,True,1.0000,tails
Gaia DR2 3411434528270795648,69.983273,21.494226,16.116521,72.458868,-32.400986,41.821,2.199,12.747,True,True,True,0.9999,tails
Gaia DR2 3242232470578902656,79.731387,8.454058,18.167542,54.442663,-4.277949,,3.454,16.561,True,,True,0.9998,tails
Gaia DR2 3242022670016700672,77.418561,8.214006,19.995437,65.743711,-3.475833,,2.968,13.624,True,,True,0.9997,tails
Gaia DR2 3241952369992171904,77.830854,7.908911,17.456029,57.007525,-2.516967,43.312,1.481,10.763,True,True,True,1.0000,tails
Gaia DR2 3387573300585597184,79.367239,11.790708,17.201947,50.332766,-12.235385,45.638,1.884,11.860,True,True,True,0.9999,tails
Gaia DR2 3387381646261643776,80.106160,11.609759,17.799060,52.255291,-13.987404,44.200,0.923,8.840,True,True,True,1.0000,tails
Gaia DR2 147908438767993216,68.189307,25.092556,18.368132,88.828164,-46.467078,,3.097,15.268,True,,True,0.9997,tails
Gaia DR2 67351757289092224,58.171544,25.804216,22.489759,139.906162,-51.420055,35.502,1.632,10.573,True,True,True,0.9999,tails
Gaia DR2 3282562625805170304,70.238722,4.848502,16.885505,73.590722,8.798026,,3.382,15.613,True,,,0.9993,tails
