  ID      HIP       RA       Dec       M/R      e_M/R      GR      C    GR+C   DRV_M02  DRV_M02_GR   DRV_M02_GR+C   DRV_G17  DRV_G17_GR   DRV_G17_GR+C       SpType    Vmag    (B-V)   e_(B-V)  RV_P98   eRV_P98   RV_M02  eRV_M02  RV_G17  eRV_G17  RV_HARPS   eRV_HARPS    FWHM     S/N   Flag      |r-rc|  e|r-rc|  V_alpha eV_alpha  V_delta  eV_delta       CR      RV_HARPS_GR+C   RV_G17_CR   DRV_G17_GR+C+CR
  59     22271   71.9247   26.1499    1.109     0.051     703    -224    478    -200       -903          -678         -94       -796          -572           K7III    10.61    1.174    0.005    40.30     0.17    39.76     0.6    39.65    0.16     39.5603     0.0013      7.2     70      1         8.46     0.34   25.545    0.357   -18.881   0.263        -70        39.0820        39.58          -502
  60     22654   73.0984   18.9968    1.129     0.075     716    -248    468     216       -500          -252         322       -394          -146             K0     10.29    1.070    0.015    42.88     0.25    41.48     0.6    41.37    0.17     41.6956     0.0012      8.2     76      1         6.42     0.60   18.927    0.216   -8.410    0.100        35         41.2276        41.41          -180
  61     23312   75.2040    4.7332    1.137     0.106     721    -309    412     110       -611          -302         226       -495          -186             K2      9.71    0.957    0.047    42.21     0.40    42.94     0.6    42.82    0.17     43.0503     0.0007      7.6     110     1        13.71     0.28   17.892    0.223    2.455    0.040        96         42.6378        42.92          -282
  62     13806   44.4454   29.6613    1.132     0.037     717    -318    399    -484       -1201         -883        -362       -1079         -761             G5      8.92    0.855    0.008    26.62     0.21    26.86    0.57    26.74    0.12     26.3762     0.0010      8.6     99     BY        19.09     0.35   36.991    0.409   -8.925    0.099       -188        25.9768        26.55          -573
  63     13976   45.0131    7.7498    1.137     0.060     721    -292    429     323       -397          -106         467       -253           38              G5      7.97    0.926    0.015    28.35     0.18     28.6    0.57    28.46    0.14     28.9233     0.0003      7.8     119    BY        26.74     0.15   36.693    0.228    2.367    0.016       -663        28.4944        27.79           701
  64     19786   63.6141   12.4353    1.080     0.071     684    -514    171    -162       -846          -333         -31       -715          -201             G0      8.05    0.640    0.001    39.32     0.14    38.57     0.6    38.44    0.16     38.4077     0.0011      9.7     122    BY         4.71     0.40   26.017    0.340   -2.959    0.041        -57        38.2372        38.38          -144
  65     19793   63.6352   23.5747    1.086     0.057     688    -520    168     321       -367           153         444       -244           276            G3V      8.05    0.657    0.007    38.21     0.23    37.31    0.59    37.19    0.15     37.6314     0.0011     10.0     138    BY         6.00     0.20   25.597    0.290   -10.319   0.117       -147        37.4633        37.04           423
  66     19934   64.1400   21.9073    1.126     0.042     714    -353    361     419       -294           58          544       -170           183            K0V      9.14    0.813    0.002    38.46     0.19     37.8    0.59    37.68    0.16     38.2191     0.0006      7.5     136    BY         6.41     0.55   25.365    0.320   -9.306    0.118        56         37.8582        37.73           127
  67     20082   64.5808   16.0882    1.137     0.067     721    -283    438     249       -472          -190         374       -347           -64            K3V      9.57    0.980    0.005    39.64     0.08    38.72     0.6    38.59    0.16     38.9685     0.0008      7.4     98     BY         2.54     0.53   25.392    0.258   -5.003    0.060       -153        38.5304        38.44           89
  68     20130   64.7421   19.9065    1.112     0.052     705    -384    321     378       -327           57          498       -207           177            G9V      8.62    0.745    0.005    39.58     0.06    38.34     0.6    38.22    0.16     38.7177     0.0006      8.2     160    BY         2.93     0.21   24.607    0.317   -7.964    0.103       -119        38.3968        38.10           296
  69     20237   65.0537   19.2336    1.047     0.045     663    -596    68     -164       -827          -231         -41       -704          -109            G0V      7.46    0.560    0.014    38.81     0.18    38.56     0.6    38.44    0.16     38.3962     0.0018     15.4     168    BY          --       --      --       --       --        --        -158        38.3287        38.28           49
  70     20485   65.8559   15.7630    1.092     0.083     692    -235    457    -771       -1463         -1228       -651       -1343         -1109           K5V     10.47    1.231    0.009    39.30     0.21    39.27     0.6    39.15    0.16     38.4992     0.0019      8.1     59     BY         5.64     0.69   24.442    0.319   -5.176    0.071       -289        38.0418        38.86          -819
  71     20563   66.0711   18.0028    1.132     0.076     718    -256    461     330       -388          -131         449       -268           -12            K4V      9.99    1.050    0.011    39.95     0.16    39.12     0.6    39.00    0.16     39.4498     0.0008      7.8     111    BY         1.26     0.68   24.161    0.455   -6.674    0.127       -123        38.9886        38.88           111
  72     20577   66.1185   16.8861    1.063     0.252     674    -581    93     -1513      -2187         -1606       -1388      -2062         -1481           G2V      7.79    0.599    0.015    38.80     0.08    39.27     0.6    39.15    0.16     37.7569     0.0013     10.8     136    BY         1.66     0.68   24.227    0.283   -5.365    0.063       -150        37.6640        38.99          -1331
  73     20741   66.6676   16.7468    1.088     0.066     690    -514    175    -1161      -1850         -1336       -1039      -1728         -1214           G8V      8.10    0.664    0.008    40.23     0.28     39.5     0.6    39.38    0.16     38.3392     0.0011      8.0     89     BY         1.21     1.26   23.514    0.505   -6.067    0.130       -138        38.1640        39.24          -1076
  74     20815   66.9000   15.5891    1.038     0.039     658    -615    43     -383       -1041         -426        -256       -914          -299            F8V      7.41    0.537    0.015    39.32     0.24    39.71     0.6    39.58    0.16     39.3271     0.0026     14.3     108    BY         1.33     0.39   23.603    0.436   -5.340    0.099        -76        39.2845        39.51          -223
  75     20899   67.2017   17.2853    1.068     0.058     677    -567    109    -445       -1122         -555        -323       -1000         -432            G2V      7.83    0.609    0.010    39.99     0.16    39.65     0.6    39.53    0.16     39.2047     0.0013     11.2     137    BY         0.63     0.52   23.815    0.306   -6.225    0.080       -115        39.0954        39.41          -317
  76     20951   67.3822   17.8930    1.129     0.079     715    -318    397     292       -423          -105         416       -300           19             K0V      8.95    0.831    0.003    40.70     0.06    39.65     0.6    39.53    0.16     39.9421     0.0010      7.6     82     BY         1.47     0.44   23.227    0.255   -7.097    0.080       -140        39.5451        39.39           159
  77     21317   68.6476   15.5045    1.076     0.066     682    -523    159     59        -623          -100         177       -505           18             G1V      7.90    0.631    0.014    40.78     0.16    40.38     0.6    40.26    0.16     40.4391     0.0012      9.9     120    BY         2.02     0.22   22.045    0.245   -5.830    0.066       -126        40.2799        40.14           144
