# HIP - Hipparcos identifier
# TYC - Tycho-2 identifier
# source_id - Gaia DR1 identifier
# c - the c-value (chi-squared) of the star
# p - the p-value of the star corresponding to the c-value
# RV - radial velocity (in km/s)
# e_RV - radial velocity error (which have been inflated due to the zero-point differences)
# s_RV - the source of the radial velocity measurement
# Keys for radial velocity literature sources given in this
# column are the following: 1 - XHIP, 2 - RAVE, 3 - APOGEE,
# 4 - GALAH, 5 - Perryman et al. (1998), 6 - HADES, 7 - White et
# al. (2007), 8 - Mermilliod et al. (2009), 9 - Tabernero et al.
# (2012), 10 - Griffin (2012), 11 - Griffin (2013) and 12 -
# Debernardi et al. (2000).
# plx_mod - the kinematically modelled parallax for this star (if missing then the star was rejected during kinematic modelling)
# e_plx_mod - standard deviation of the modelled parallax


 HIP     TYC           source_id             c         p        RV       e_RV    s_RV   plx_mod   e_plx_mod
  ""      78-257-1      3283285790922135424   0.0043    0.9978   ""       ""      ""     26.854    0.19
  ""      80-1019-1     3284709349242833792   6.3994    0.0408   ""       ""      ""     ""        ""
  ""      91-1330-1     3282171745125201792   0.0161    0.992    ""       ""      ""     20.972    0.194
  ""      673-130-1     3306066434899058560   8.5347    0.014    ""       ""      ""     ""        ""
  ""      142-1245-1    3321943966921179648   0.7774    0.6779   ""       ""      ""     14.2      0.389
  ""      701-171-1     3334853607820749184   8.517     0.0141   ""       ""      ""     ""        ""
  ""      700-935-1     3337480684695467648   0.1246    0.9396   ""       ""      ""     13.027    0.212
  ""      723-773-1     3340209775636513408   6.9801    0.0305   ""       ""      ""     ""        ""
  ""      706-291-1     3388382060107608832   1.9449    0.3782   ""       ""      ""     ""        ""
  ""      1297-1232-1   3396115646939927552   0.2387    0.8875   ""       ""      ""     13.072    0.247
  ""      1307-639-1    3399771248225858944   8.9274    0.0115   ""       ""      ""     ""        ""
  ""      1306-153-1    3402663135604113920   11.3295   0.0035   ""       ""      ""     ""        ""
  ""      1309-390-1    3402090461845409792   6.6244    0.0364   ""       ""      ""     ""        ""
  ""      1286-461-1    3407612484118068352   1.2405    0.5378   ""       ""      ""     14.852    0.301
  ""      1289-1656-1   3407518510233429248   0.198     0.9057   ""       ""      ""     18.468    0.309
  ""      1279-2259-1   3412605297699792512   0.2826    0.8682   ""       ""      ""     23.681    0.212
  ""      1831-63-1     3413223223234482048   4.2138    0.1216   ""       ""      ""     ""        ""
  ""      1286-2091-1   3407092655635564544   0.3046    0.8587   ""       ""      ""     12.407    0.204
  ""      2405-952-1    3444787247130393600   6.0597    0.0483   ""       ""      ""     ""        ""
  15624   57-78-1       ""                    1.8677    0.393    ""       ""      ""     9.647     0.153
  22802   1840-328-1    ""                    3.1865    0.2033   ""       ""      ""     15.429    0.458
  21092   ""            ""                    1.5757    0.4548   ""       ""      ""     33.196    1.6
